Nomor Ayat,Terjemahan Gorontalo,Terjemahan Indonesia
217,Wau potitiwuneelo yi'o ode (Allah) ta labatutu bihi-bihilo boli laba-tutu momonuwa.,"Dan bertawakallah kepada (Allah) Yang Mahaperkasa, Maha Penyayang, "
218,Ta bile-bilehei olemu to'u yi'o tihu-tihula (hemotabiya).,"Yang melihat engkau ketika engkau berdiri (untuk salat), "
219,Wau (bile-bilehei) booli'a lo o'oliyo'o lo ilanggangumu to woolota lo ta hisujuduwa.,dan (melihat) perubahan gerakan badanmu di antara orang-orang yang sujud.
220,Tutuulio-tutu Tio (Allah) ta labatutu mo'odungohu boli labatutu motota.,"Sungguh, Dia Maha Mendengar, Maha Mengetahui. "
221,Naa'olo yinawo timongoli ma popohabario'umai ode olo ta toonu lati-latiyala boito motuhutai?.,"Maukah Aku beritakan kepadamu, kepada siapa setan-setan itu turun?. "
222,Timongolio (lati) motuhutai ode moti-moti'idu ta hipohhimbu-lowa boli hi'oduusawa daadaata.,"Mereka (setan) turun kepada setiap pendusta yang banyak berdosa, "
223,"Timongolio hipopotunggula lo'u ma ilodungohe limongolio, tohu-hama lo'u diladaatala iimongo-lio boito bo ta hipohhimbulowa. ","mereka menyampaikan hasil pendengaran mereka, sedangkan kebanyakan mereka orang-orang pendusta. "
224,Wau ta hipossa'iria boito hedudu'alio lo ta hilaapala.,Dan penyair-penyair itu diikuti oleh orang-orang yang sesat.
225,Na'olo diila otawamu de'u owowa lu-wo limongolio hi hileleyangia to lumba-lumbayala.,"Tidakkah engkau melihat bahwa mereka mengembara di setiap lembah, 591) "
226,Wau de'u timongolio hipolo'iyawa u diila hepohutuwo limongolio lo hihilao.,dan bahwa mereka mengatakan apa yang mereka sendiri tidak mengerjakan(nya)?.
227,Ngopolilya lo taito timongolio (ta hipossa'iria) ta ma pilalasaya wau hipohutua u mopio wau laito hipohulita tanggulo Allah wau ma tilonggo'ohama to'u ma ilarinayaalioma'o (tu'udu u ma lolameta leningio lo ta hipobuuhunga). Wau de ma otaawa lo taito timongolio ta longarinaya ode bilulo'a u toonu u mola pohuwalinga limongolio.,kecuali penyair-penyair) yang beriman dan berbuat kebajikan dan banyak mengingat Allah dan mendapat kemenangan setelah terzalimi (karena menjawab puisi-puisi orang-orang kafir). Dan orang-orang yang zalim kelak akan tahu ke tempat mana mereka akan kembali.
